id,name,nameDisplay,description,abv,styleId,isOrganic,status,statusDisplay,createDate,updateDate,style/id,style/categoryId,style/category/id,style/category/name,style/category/createDate,style/name,style/shortName,style/description,style/ibuMin,style/ibuMax,style/abvMin,style/abvMax,style/srmMin,style/srmMax,style/ogMin,style/fgMin,style/fgMax,style/createDate,style/updateDate,ibu,glasswareId,availableId,originalGravity,glass/id,glass/name,glass/createDate,available/id,available/name,available/description,beerVariationId,year,labels/icon,labels/medium,labels/large,beerVariation/id,beerVariation/name,beerVariation/nameDisplay,beerVariation/description,beerVariation/abv,beerVariation/glasswareId,beerVariation/availableId,beerVariation/styleId,beerVariation/isOrganic,beerVariation/year,beerVariation/status,beerVariation/statusDisplay,beerVariation/createDate,beerVariation/updateDate,beerVariation/glass/id,beerVariation/glass/name,beerVariation/glass/createDate,beerVariation/available/id,beerVariation/available/name,beerVariation/available/description,beerVariation/style/id,beerVariation/style/categoryId,beerVariation/style/category/id,beerVariation/style/category/name,beerVariation/style/category/createDate,beerVariation/style/name,beerVariation/style/shortName,beerVariation/style/description,beerVariation/style/ibuMin,beerVariation/style/ibuMax,beerVariation/style/abvMin,beerVariation/style/abvMax,beerVariation/style/srmMin,beerVariation/style/srmMax,beerVariation/style/ogMin,beerVariation/style/fgMin,beerVariation/style/fgMax,beerVariation/style/createDate,beerVariation/style/updateDate,foodPairings,srmId,srm/id,srm/name,srm/hex,servingTemperature,servingTemperatureDisplay
izZsdy,10k IPA,10k IPA,Belgian Style IPA,7.1,62,N,verified,Verified,2013-04-28 18:52:27,2015-04-28 20:29:22,62,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,"Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Light to medium body and low malt aroma are typical. They are light amber to deep amber in color. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. Low caramel or toasted malt flavor is okay. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",20,30,4,6,6,12,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386MCY,10th And Main,10th And Main,,5.6,93,N,verified,Verified,2016-05-12 17:45:46,2016-05-12 17:45:46,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unPNsc,10th Anniversary,10th Anniversary,,11.8,29,N,verified,Verified,2015-10-16 13:58:18,2015-10-16 13:58:18,29,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Strong Pale Ale,American Strong Pale,"American strong pale ales range from deep golden to copper in color. The style is characterized by floral and citrus-like American-variety hops used to produce high hop bitterness, flavor, and aroma. Note that floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. American strong pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruityester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",40,50,5.5,6.3,6,14,1.05,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:26:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZzohmM,10th Anniversary Ale,10th Anniversary Ale,This pale is highlighted by the spicy hop character of German Tettnang and the piney citrus notes of American Cascade. Light in body with a dry finish,5.3,25,N,verified,Verified,2015-04-24 21:16:56,2015-04-24 21:16:56,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMaCrb,10th Anniversary IIPA,10th Anniversary IIPA,"This strong beer is brewed form the first runnings of 2 separate mashes to get the desired strength at the desired volume. Columbus and Northern Brewer Hops were used for bittering, while Cascade and Amarillo hops were used for Flavor and aroma.",10.5,31,N,verified,Verified,2012-04-13 17:33:50,2015-06-18 18:40:48,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,100,5,2,1.101,5,Pint,2012-01-03 02:41:33,2,Limited,Limited availability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTKv9o,10th Mountain Imperial Stout,10th Mountain Imperial Stout,"Paying tribute to the brave men who pioneered the ski industry following their service in World War II, our 10th Mountain Imperial Stout is an imperial version of the traditional English oatmeal stout.  A decadent beer worthy of sipping by the fire or sharing with friends.",9.3,43,N,verified,Verified,2014-09-10 20:46:27,2014-09-11 13:37:44,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,87,,8,,,,,8,Winter,Available during the winter months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLdrrZ,10th Noel,10th Noel (2012),"A rich, ruby coloured ale. Roasted malts and American hops combine to release rich berry fruit flavours.",5.7,14,N,verified,Verified,2012-12-21 17:36:20,2015-12-16 21:49:41,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,6,8,,6,Snifter,2012-01-03 02:41:33,8,Winter,Available during the winter months.,AIoIJs,2012,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/JLdrrZ/upload_h00Aza-large.png,AIoIJs,1st Noel,1st Noel (2003),"Rich ruby coloured ale, roasted malts and American hops combine to release rich berry fruit flavours.",4.8,6,8,14,N,2003,verified,Verified,2012-12-21 17:48:25,2012-12-21 18:09:35,6,Snifter,2012-01-03 02:41:33,8,Winter,Available during the winter months.,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,
Ixmpgz,10th Street Amber,10th Street Amber,Richly colored and perfectly hopped amber,,32,N,verified,Verified,2013-01-15 14:27:02,2013-01-16 11:46:55,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meats, cheeses, roasts, no food at all.",,,,,,
ABbV1E,10W Porter,10W Porter,"This full bodied British porter is an aggressive take on the classic style. The nose is dominated by notes of dark chocolate and coffee, while the flavor profile is full of complex toasty, malty and burnt sugar flavors balanced by an approachable roasty note.",4.5,19,N,verified,Verified,2016-04-29 19:57:56,2016-05-12 12:23:42,19,1,1,British Origin Ales,2012-03-21 20:06:45,Robust Porter,Robust Porter,"Robust porters are black in color and have a roast malt flavor, often reminiscent of cocoa, but no roast barley flavor. These porters have a sharp bitterness of black malt without a highly burnt/charcoal flavor. Caramel and other malt sweetness should be present and in harmony with other distinguishing porter characters. Robust porters range from medium to full in body and have a malty sweetness. Hop bitterness is medium to high, with hop aroma and flavor ranging from negligible to medium. Diacetyl is acceptable at very low levels. Fruity esters should be evident, balanced with roast malt and hop bitterness.",25,40,5,6.5,30,30,1.045,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:21:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W28hWM,10W-30 Imperial Oatmeal Stout,10W-30 Imperial Oatmeal Stout,"This is a BIG imperial stout full of flavors of roasted espresso, dark chocolate, dark cherries and deep smoky notes. It will keep your engine running smooth all winter.",,21,N,verified,Verified,2013-05-08 23:59:38,2013-05-08 23:59:38,21,1,1,British Origin Ales,2012-03-21 20:06:45,Oatmeal Stout,Oatmeal Stout,"Oatmeal stouts include oatmeal in their grist, resulting in a pleasant, full flavor and a smooth profile that is rich without being grainy. A roasted malt character which is caramel-like and chocolate-like should be evident - smooth and not bitter. Coffee-like roasted barley and roasted malt aromas (chocolate and nut-like) are prominent. Color is dark brown to black. Bitterness is moderate, not high. Hop flavor and aroma are optional but should not overpower the overall balance if present. This is a medium- to full- bodied beer, with minimal fruity esters. Diacetyl should be absent or at extremely low levels. Original gravity range and alcohol levels are indicative of English tradition of oatmeal stout.",20,40,3.8,6,20,20,1.038,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:22:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsf8kz,10°,10°,Quad brewed a year before being released in bottles. Giving this robust beer time to age properly was essential in bringing the dark specialty malts forward and allowing the alcohol to mellow.,9.8,60,N,verified,Verified,2015-01-10 00:37:28,2015-12-17 19:34:50,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/jsf8kz/upload_BHlulj-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uBUilT,10° Below,10° Below,,7.4,52,N,verified,Verified,2015-03-18 17:54:16,2015-12-17 23:56:39,52,4,4,German Origin Ales,2012-03-21 20:06:46,South German-Style Dunkel Weizen / Dunkel Weissbier,Dunkelweizen,"This beer style is characterized by a distinct sweet maltiness and a chocolate-like character from roasted malt. Estery and phenolic elements of this Weissbier should be evident but subdued. Color can range from copper-brown to dark brown. Dunkel Weissbier is well attenuated and very highly carbonated, and hop bitterness is low. Hop flavor and aroma are absent. Usually dark barley malts are used in conjunction with dark cara or color malts, and the percentage of wheat malt is at least 50 percent. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",10,15,4.8,5.4,10,19,1.048,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:30:09,22,,4,,,,,4,Seasonal,"Available at the same time of year, every year.",,,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/uBUilT/upload_lI8InY-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEon99,11,11,A distinctly hoppy Double IPA fermented with our House strain of Scottish ale yeast and dry hopped twice with Amarillo and Summit hops. We think you'll agree that this beer goes to 11.,8.2,31,N,verified,Verified,2012-01-03 02:42:36,2015-06-10 17:37:52,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,5,3,,5,Pint,2012-01-03 02:41:33,3,Not Available,Beer is not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qHOBcs,11 Point Pilsner,11 Point Pilsner,"This Pilsner is a straight ahead, German-style pilsner; dry, clean with a bracing hop finish. 11 Point Pilsner is brewed with premium 2-row malted barley, noble hops, soft water and Bavarian lager yeast, and is the type of beer that goes well with a range of food, or simply enjoyed on its own.",5.5,75,Y,verified,Verified,2013-08-12 17:29:17,2015-07-10 16:52:38,75,7,7,European-germanic Lager,2012-03-21 20:06:46,German-Style Pilsener,German Pilsener,"A classic German Pilsener is very light straw or golden in color and well hopped. Perception of hop bitterness is medium to high. Noble-type hop aroma and flavor are moderate and quite obvious. It is a well-attenuated, medium-light bodied beer, but a malty residual sweetness can be perceived in aroma and flavor. Very low levels of sweet corn-like dimethylsulfide (DMS) character are below most beer drinkers' taste thresholds and are usually not detectable except to the trained or sensitive palate. Other fermentation or hop related sulfur compounds, when perceived at low levels, may be characteristic of this style. Fruity esters and diacetyl should not be perceived. There should be no chill haze. Its head should be dense and rich.",25,40,4,5,3,4,1.044,1.006,1.012,2012-03-21 20:06:46,2015-04-07 15:35:59,35,,1,1.048,,,,1,Year Round,Available year round as a staple beer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DyNPlC,11/11 India Pale Ale,11/11 India Pale Ale,,,30,N,verified,Verified,2014-05-06 13:08:12,2015-12-17 11:48:16,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/DyNPlC/upload_71zbue-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hNPjUO,1100 Wheat Wine,1100 Wheat Wine,,11.5,35,N,verified,Verified,2012-01-03 02:42:36,2014-10-09 14:32:53,35,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ySo6qj,110K+OT Batch #1,110K+OT Batch #1,Der Rauch Gott (Imperial Smoked Ale),11.4,129,N,verified,Verified,2012-01-03 02:42:36,2015-12-16 08:15:01,129,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Smoke Beer (Lager or Ale),Smoke Beer,Any style of beer can be smoked; the goal is to reach a balance between the style's character and the smoky properties. Type of wood or other sources of smoke should be specified as well as the style the beer is based upon.,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:45:19,,,2,,,,,2,Limited,Limited availability.,,,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-icon.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-medium.png,https://s3.amazonaws.com/brewerydbapi/beer/ySo6qj/upload_L6NBT9-large.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
